item	layer	value
GC_00003370	SA_INS1T258A91_Peru_1991	1
GC_00003370	SA_INS1T2658A92_Peru_1992	1
GC_00003370	SA_INS1T346A95_Peru_1995	1
GC_00003370	SA_INS1T357A91_Peru_1991	1
GC_00003370	SA_INS1T372A91_Peru_1991	1
GC_00003370	SA_INS1T3852A92_Peru_1992	1
GC_00003370	SA_INS1T3867A92_Peru_1992	1
GC_00003370	SA_INS1T3887A92_Peru_1992	1
GC_00003370	SA_INS1T419A91_Peru_1991	1
GC_00003370	SA_INS1T457A10_Argentina_2010	1
GC_00003370	SA_INS1T4598A92_Peru_1992	1
GC_00003370	SA_INS1T485A93_Peru_1993	1
GC_00003370	SA_INS1T6014A92_Peru_1992	1
GC_00003370	SA_INS1T6189A92_Peru_1992	1
GC_00003370	SA_INS1T6195A92_Peru_1992	1
GC_00003370	SA_INS1T6201A92_Peru_1992	1
GC_00003370	SA_INS1T6208A92_Peru_1992	1
GC_00003370	SA_INS1T6211A92_Peru_1992	1
GC_00003370	SA_INS1T663A93_Peru_1993	1
GC_00003370	SA_INS1T6910A92_Peru_1992	1
GC_00003370	SA_INS1T777A93_Peru_1993	1
GC_00003370	SA_INS1T8232A92_Peru_1992	1
GC_00003370	SA_INS1T8238A92_Peru_1992	1
GC_00003370	SA_INS1T8240A92_Peru_1992	1
GC_00003370	SA_INS1T8242A92_Peru_1992	1
GC_00003370	SA_INS1T8244A92_Peru_1992	1
GC_00003370	SA_INS1T8276A92_Peru_1992	1
GC_00003370	SA_INS1T8643A92_Peru_1992	1
GC_00003370	SA_INS1T934A93_Peru_1993	1
GC_00003370	SA_INS2T0025A96_Peru_1996	1
GC_00003370	SA_INS2T008A03_Peru_2002	1
GC_00003370	SA_INS2T018A99_Peru_1998	1
GC_00003370	SA_INS2T0883A93_Peru_1993	1
GC_00003370	SA_INS2T090A99_Peru_1999	1
GC_00003370	SA_INS2T1028A92_Peru_1992	1
GC_00003370	SA_INS2T106A95_Peru_1995	1
GC_00003370	SA_INS2T121A95_Peru_1995	1
GC_00003370	SA_INS2T1300A91_Peru_1991	1
GC_00003370	SA_INS2T177A99_Peru_1999	1
GC_00003370	SA_INS2T2224A92_Peru_1992	1
GC_00003370	SA_INS2T222A91_Peru_1991	1
GC_00003370	SA_INS2T2230A92_Peru_1992	1
GC_00003370	SA_INS2T2231A92_Peru_1992	1
GC_00003370	SA_INS2T2245A92_Peru_1992	1
GC_00003370	SA_INS2T2246A92_Peru_1992	0
GC_00003370	SA_INS2T2247A92_Peru_1992	1
GC_00003370	SA_INS2T229A94_Peru_1994	1
GC_00003370	SA_INS2T232A94_Peru_1994	1
GC_00003370	SA_INS2T2432A98_Peru_1998	1
GC_00003370	SA_INS2T2435A98_Peru_1998	1
GC_00003370	SA_INS2T258A99_Peru_1999	1
GC_00003370	SA_INS2T271A94_Peru_1994	1
GC_00003370	SA_INS2T3110A98_Peru_1998	1
GC_00003370	SA_INS2T3116A98_Peru_1998	1
GC_00003370	SA_INS2T421A91_Peru_1991	1
GC_00003370	SA_INS2T422A91_Peru_1991	1
GC_00003370	SA_INS2T424A91_Peru_1991	1
GC_00003370	SA_INS2T4803A92_Peru_1992	1
GC_00003370	SA_INS2T4804A92_Peru_1992	1
GC_00003370	SA_INS2T4860A92_Peru_1992	1
GC_00003370	SA_INS2T4867A92_Peru_1992	1
GC_00003370	SA_INS2T509A03_Peru_2003	1
GC_00003370	SA_INS2T549A95_Peru_1995	1
GC_00003370	SA_INS2T7566A92_Peru_1992	0
GC_00003370	SA_INS2T7577A92_Peru_1992	1
GC_00003370	SA_INS2T844A91_Peru_1991	1
GC_00003370	SA_INS3T225A95_Peru_1995	1
GC_00003370	SA_INS3T226A95_Peru_1995	1
GC_00003370	SA_INS4T148A99_Peru_1999	1
GC_00003370	SA_INS5T580A14_Peru_2014	1
GC_00003370	SA_INS5T8543A92_Peru_1992	1
GC_00003370	SA_VC135_Brazil_1993	1
GC_00003370	SA_VC153_Brazil_1991	1
GC_00003370	SA_VC20_Brazil_1993	1
GC_00003370	SA_VC394_Brazil_1996	1
GC_00003370	SA_VC450_Brazil_1993	1
GC_00003370	SA_VC50_Brazil_1995	1
GC_00003370	SA_VC588_Brazil_1999	1
GC_00003370	SA_VC641_Brazil_1996	1
GC_00003370	SA_VC655_Brazil_1994	1
GC_00003370	SA_VC669_Brazil_1993	1
GC_00003370	SA_VC726_Brazil_1992	1
GC_00003370	SA_VC894_Brazil_1994	1
GC_00003370	SA_VC897_Brazil_1994	1
GC_00003370	SA_VC898_Brazil_1993	1
GC_00003370	SA_VC905_Brazil_1992	1
GC_00003370	SA_VC908_Brazil_1991	0
GC_00003370	SC_ERR018146_Colombia_1992	1
GC_00003370	SC_ERR018148_Colombia_1992	1
GC_00003370	SC_ERR018149_Colombia_1992	1
GC_00003370	SC_ERR018156_Colombia_1992	1
GC_00003370	SC_ERR018158_Argentina_1992	1
GC_00003370	SC_ERR018159_Mexico_1991	1
GC_00003370	SC_ERR018160_Bolivia_1992	1
GC_00003370	SC_ERR018161_Mexico_1991	1
GC_00003370	SC_ERR018167_Argentina_1992	1
GC_00003370	SC_ERR018168_Argentina_1992	1
GC_00003370	SC_ERR018169_Vietnam_1989	0
GC_00003370	SC_ERR018171_Vietnam_1989	0
